desc,price,rating,review_count,Url
Good Boys (4K UHD),$3.99,,,https://www.amazon.com/Good-Boys-UHD-Jacob-Tremblay/dp/B08FCJNWDF/ref=sr_1_3?dchild=1&keywords=good&qid=1621591155&sr=8-3
"Good Girls, Season 4",$1.99,,,https://www.amazon.com/One-Night-in-Bangkok/dp/B08Y79VY3V/ref=sr_1_4?dchild=1&keywords=good&qid=1621591155&sr=8-4
"Good Doctor, The - Season 04 [Digital]",$1.99,,,https://www.amazon.com/Gender-Reveal/dp/B08M48CGQ1/ref=sr_1_5?dchild=1&keywords=good&qid=1621591155&sr=8-5
Good Will Hunting,$2.99,,,https://www.amazon.com/Good-Will-Hunting-Ben-Affleck/dp/B006RXQBGQ/ref=sr_1_6?dchild=1&keywords=good&qid=1621591155&sr=8-6
"Good Witch, Season 7",$1.99,,,https://www.amazon.com/Episode-1/dp/B0957BKBLC/ref=sr_1_8?dchild=1&keywords=good&qid=1621591155&sr=8-8
Greater Good Toolkit — 30 Science-Based Practices for A Meaningful Life by Holstee,$45.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04268192ULQBIVAREWLN&url=%2FGreater-Good-Toolkit-Science-Based-Meaningful%2Fdp%2FB08258NZF6%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dgood%26qid%3D1621591155%26sr%3D8-9-spons%26psc%3D1&qualifier=1621591155&id=834917921213782&widgetName=sp_mtf
"The Good, the Bad and the Ugly",$3.99,,,https://www.amazon.com/Good-Bad-Ugly-Eli-Wallach/dp/B00AQB6YDA/ref=sr_1_11?dchild=1&keywords=good&qid=1621591155&sr=8-11
"The Goods: Live Hard, Sell Hard",$2.99,,,https://www.amazon.com/Goods-Live-Hard-Sell/dp/B002ZBT77O/ref=sr_1_12?dchild=1&keywords=good&qid=1621591155&sr=8-12
The good wife,$1.99,,,https://www.amazon.com/Yvonne-Jegede-Adesanya-Fredrick-Leonard/dp/B07Q4SZLM3/ref=sr_1_13?dchild=1&keywords=good&qid=1621591155&sr=8-13
"Willcallyou Pack of 2 Engineer, I'm good with Math 11 Ounces Funny White Coffee Mug",$16.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07561231DBPZZV38GD5Q&url=%2FWillcallyou-Engineer-Ounces-Funny-Coffee%2Fdp%2FB07VL5XYMG%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dgood%26qid%3D1621591155%26sr%3D8-14-spons%26psc%3D1&qualifier=1621591155&id=834917921213782&widgetName=sp_mtf
The Good Neighbor,$2.99,,,https://www.amazon.com/Good-Neighbor-James-Caan/dp/B01KPAH2HI/ref=sr_1_15?dchild=1&keywords=good&qid=1621591155&sr=8-15
Good Kids,$2.99,,,https://www.amazon.com/Good-Kids-Zoey-Deutch/dp/B01LYA8BII/ref=sr_1_16?dchild=1&keywords=good&qid=1621591155&sr=8-16
"The Good Fight, Season 1",$1.99,,,https://www.amazon.com/Inauguration/dp/B075DHY17H/ref=sr_1_17?dchild=1&keywords=good&qid=1621591155&sr=8-17
Good to Great: Why Some Companies Make the Leap and Others Don't,$14.55,,,https://www.amazon.com/Good-Great-Some-Companies-Others/dp/0066620996/ref=sr_1_18?dchild=1&keywords=good&qid=1621591155&sr=8-18
"Feel Good Fusion with Jessica Smith: Barefoot Cardio, Strength, Pilates, Barre and Yoga Mix DVD, Fat Burning, Sculpting, Toning Low Impact Exercise (No Floor Work)",$15.97,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08783473KIFPMYN3R1H&url=%2FJessica-Smith-Feel-Good-Fusion%2Fdp%2FB07DS8M656%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Dgood%26qid%3D1621591155%26sr%3D8-19-spons%26psc%3D1&qualifier=1621591155&id=834917921213782&widgetName=sp_btf
